First Adjective English	First Adjective Swedish	First Adjective Gender Category	First Adjective Quality	First Adjective Translated Pronoun	Second Adjective English	Second Adjective Swedish	Second Adjective Gender Category	Second Adjective Quality	Second Adjective Translated Pronoun	Occupation English	Occupation Swedish	Occupation Gender Category	Occupation US Gender Category	Occupation Sweden Gender Category	Occupation Translated Pronoun	Combination Category	Two Adjectives and Occupation Translated Sentence	Two Adjectives and Occupation Pronoun
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	lawyer	advokat	Male	Equal	Male	Feminine	FFF	she is a beautiful and lovely lawyer	Feminine
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	postal service mail carrier	brevbärare	Male	Male	Equal	Masculine	FFM	she is a beautiful and lovely postman	Feminine
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	civil engineer	civilingenjör	Male	Male	Male	Masculine	FFM	she is a beautiful and lovely civil engineer	Feminine
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	painter	målare	Male	Male	Male	Masculine	FFM	she is a beautiful and lovely painter	Feminine
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	aircraft pilot	pilot	Male	Male	Male	Masculine	FFM	she is a beautiful and lovely pilot	Feminine
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	police officer	polis	Male	Male	Male	Masculine	FFM	she is a beautiful and lovely police officer	Feminine
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	plumber	rörmokare	Male	Male	Male	Masculine	FFM	she is a beautiful and lovely plumber	Feminine
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	carpenter	snickare	Male	Male	Male	Masculine	FFM	she is a beautiful and lovely carpenter	Feminine
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	software developer	mjukvaruutvecklare	Male	Male	Male	Masculine	FFM	she is a beautiful and lovely software developer	Feminine
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	security guard	ordningsvakt	Male	Male	Male	Masculine	FFM	she is a beautiful and lovely security guard	Feminine
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	pharmacist	apotekare	Female	Female	Equal	Masculine	FFM	she is a beautiful and lovely pharmacist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	dietitian	dietist	Female	Female	Female	Feminine	FFF	she is a beautiful and lovely dietician	Feminine
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	hairdresser	frisör	Female	Female	Female	Feminine	FFF	she is a beautiful and lovely hairdresser	Feminine
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	cashier	kassapersonal	Female	Female	Female	Masculine	FFM	she is a beautiful and lovely cashier	Feminine
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	teacher	lärare	Female	Female	Female	Feminine	FFF	she is a beautiful and lovely teacher	Feminine
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	optician	optiker	Female	Female	Female	Masculine	FFM	she is a beautiful and lovely optician	Feminine
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	psychologist	psykolog	Female	Female	Female	Feminine	FFF	she is a beautiful and lovely psychologist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	receptionist	receptionist	Female	Female	Female	Feminine	FFF	she is a beautiful and lovely receptionist	Feminine
beautiful	vacker	Feminine	Positive	Feminine	lovely	härlig	Feminine	Positive	Feminine	nurse	sjuksköterska	Female	Female	Female	Feminine	FFF	she is a beautiful and lovely nurse	Feminine
